0,1
سيداتي سادتي ، قبل الإقلاع نطلب منكم إغلاق كل الأجهزة الإلكترونية ، بما فيها الحاسبات الآلية ، ومشغلات الاسطوانات المدمجة ، والهواتف الخلوية ، والألعاب الإلكترونية . من فضلكم توقفوا عن استعمال أياً منها إلا بعد عشر دقائق من الإقلاع .,سيداتي سادتي ، قبل الإقلاع نطلب منكم إغلاق كل الأجهزة الإلكترونية ، بما فيها الحاسبات الآلية ، ومشغلات الاسطوانات المدمجة ، والهواتف الخلوية ، والألعاب الإلكترونية . من فضلكم توقفوا عن استعمال أياً منها إلا بعد عشر دقائق من الإقلاع .
لقد تأكدنا جميعا من أن الكراسات قد أرسلت إليكم عن طريق البريد .,لقد تأكدنا جميعا من أن الكراسات قد أرسلت إليكم عن طريق البريد .
هلا تكرمت وذهبت وتأكدت منها الآن ؟ لو كانوا هناك ، هل ستحضر كل شيء هنا في الحال ؟,هلا تكرمت وذهبت وتأكدت منها الآن ؟ لو كانوا هناك ، هل ستحضر كل شيء هنا في الحال ؟
في شخص متعور.,لقد أصيب شخص .
أوه ، يبدو أنني افقد شيء ما كل وقت أسافر فيه .,أوه ، يبدو أنني افقد شيء ما كل وقت أسافر فيه .
أود أن أرسل هذا الطرد .,أود أن أرسل هذا الطرد .
"آه . هذه الفضية نادرة "" القمر والجرس "" . هل تريد أن تغيرها أكيد ؟","آه . هذه الفضية نادرة "" القمر والجرس "" . هل تريد أن تغيرها أكيد ؟"
لقد فزنا بعقود مع أغلب الموردين في اليابان .,لقد فزنا بعقود مع أغلب الموردين في اليابان .
لا أعرف المقاسات الأسترالية .,لا أعرف المقاسات الأسترالية .
هل سنذهب بالحافلة ؟,هل سنذهب بالحافلة ؟
إن الجونلات القصيرة ومعها الأحذية الطويلة لن تنقضي موضتها .,إن الجونلات القصيرة ومعها الأحذية الطويلة لن تنقضي موضتها .
الحمدلله انك قدرت تجي.,إنني مسرور لحضورك .
فلم خمسة وثلاثين ملون، لو سمحت.,من فضلك ، فيلم ملون خمسة وثلاثون مليمتر .
وريني السمكة اللي شفتها اليوم في كتاب الصور، لو سمحت.,أرني السمكة التي رأيتها اليوم في كتاب الصور ، من فضلك .
هذي الطريق حق القطار اللي يروح محطة اكس؟,هل هذا هو المسار الصحيح للقطار المتجه إلى المحطة إكس ؟
ورني موديلات جديدة، لو سمحت.,أرني الموديلات الجديدة ، من فضلك .
وين اقدر احصل اسبرين؟,أين يمكنني الحصول على أسبرين ؟
نسيت بوكي في محلك.,لقد تركت محفظتي في محلك .
وين اقدر اشتري لفة فيلم؟,أن يمكنني أن أشتري لفة من الفيلم ؟
الجلد واجد رقيق وينشمخ بسهولة، فلازم تحط بالك.,"هذا الجلد رقيق للغاية وينخدش بسهولة , فانتبه جيدا ."
عندك بطاقة بريدية احتياطية؟,لديك بطاقة بريدية إضافية ؟
اوكي، حجزك تأكد.,حسناً ، تم إعادة التأكيد على حجزك .
معذرة . أريد أن أطلب طلب .,معذرة . أريد أن أطلب طلب .
واجد لاعبين سلة امريكيين يلعبون في اليابان.,الكثير من لاعبي البيسبول الأمريكان يلعبون في اليابان .
هل لي أن أحصل مراجعة هذا الكتاب ؟,هل لي أن أحصل مراجعة هذا الكتاب ؟
سأستدعي الشرطة .,سأستدعي الشرطة .
ما هو أحدث و أكثر فيلم شعبية ؟,ما هو أحدث و أكثر فيلم شعبية ؟
لا أستطيع تحريك ساقي اليسرى لأنها تؤلمني كثيرا .,لا أستطيع تحريك ساقي اليسرى لأنها تؤلمني كثيرا .
والله، هم فريق شاب، بس الدوجرز مشتطين، بعد.,حسناً ، إنهم فريق شبابي رائع ، وفريق الدودجرز قادمون بقوة أيضاً .
نبغي ندفع ثلاثين دولار تقريباً حق الشخص.,نريد إنفاق ثلاثين دولاراً للشخص الواحد .
حط كريم على شعري، لو سمحت.,ضع بعض اللوسيون على شعري ، من فضلك .
في نهأية السيب.,في نهاية الممر .
كان عبالي ان كامل. شنو لازم اسوي؟,لقد ظننته كاملا . ماذا سأفعل ؟
لو سمحت عطني غرشة عطر.,لطفاً ، أعطني زجاجة كولونيا .
لا، ارجوك لا. هذي حق استخدامي الشخصي.,لا ، من فضلك لا تفعل . هذا لاستخدامي الخاص .
كم تأخذ على الوزن الزائد؟,ما هو مقدار الرسوم للوزن الزائد ؟
بإمكاني أن أعطيك سيارة شيفرولية من طراز شيفي اسبكتروم مقابل اثنين وأربعين دولاراً في الأسبوع ، لمسافات غير محدودة .,بإمكاني أن أعطيك سيارة شيفرولية من طراز شيفي اسبكتروم مقابل اثنين وأربعين دولاراً في الأسبوع ، لمسافات غير محدودة .
لا، ليس اهني. هناك غرفة للتدخين في الجزء الخلفي من هالعربة.,لا ، ليس هنا . هناك حجرة تدخين قرب مؤخرة هذه الحافلة .
نعم، بس هذا أكثر من اللازم وأنا متروس.,أجل ، ولكن هذا كثير جدا ، ولقد شبعت بالفعل .
هي صغيرة وكيوت.,إنها صغيرة الجسم وذكية .
كان بالغ الطول والبطء .,كان بالغ الطول والبطء .
أمس ، اشتريت هذه وكسرت .,أمس ، اشتريت هذه وكسرت .
بالمناسبة، عندك تأمين سفر حق هالرحلة؟,بالمناسبة ، هل عندكم تأمين سفر لهذه الرحلة ؟
أعاني بشكل مزمن من الربو .,أعاني بشكل مزمن من الربو .
نفد الوقود من سيارتي .,نفد الوقود من سيارتي .
سوف أخذ معي المظلة احتياطاً .,سوف أخذ معي المظلة احتياطاً .
أريد أن أعرف متى يمكنني العودة هنا .,أريد أن أعرف متى يمكنني العودة هنا .
ممكن اخذ نص قنينة؟,هل يمكن أن أخذ نصف إبريق ؟
نحتاج وقت زيادة عشان ندرس العقد.,نحتاج إلى المزيد من الوقت لكي نفحص العقد .
دا القطار يروح مباشرة على أيدينبيرة؟,هل هذا القطار يتجه مباشرة إلى إدنبره ؟
اسمه سيد هارادا. شكراً.,اسمه السيد هارادا . شكراً جزيلاً لك .
طيحت قفشة.,سقطت مني ملعقة .
اي. لو سمحت ورني كم فانيلة.,أجل . من فضلك أرني بعض القمصان .
امش سيده لين تشوف صيدلية.,استمر في السير في هذا الطريق حتى تجد صيدلية .
هل هذا صحيح؟ خلني اتأكد. اوه، انا متأسف بشدة. سيدة تاكنو. هذي غلطتنا. هذي فاتورتك الجديدة. تقدرين توقعين هنا، لو سمحتي؟,هل هذا صواب ؟ دعني أتحقق . أوه ، أسف بشدة آنسة تاكاناو . هذا خطأنا . إليك فاتورتك الجديدة . هلا تفضلت بالتوقيع هنا ، من فضلك ؟
ابغا اسجل امتعتي.,أريد تسجيل أمتعتي .
وين اقدر اشتري بطاقة تيليفون؟,من أين يمكنني شراء بطاقة هاتف ؟
إنني أتصل بالمدير .,إنني أتصل بالمدير .
املأ البنود الآتية في بطاقة التسجيل .,املأ البنود الآتية في بطاقة التسجيل .
أريد الاتصال هاتفياً باليابان .,أريد الاتصال هاتفياً باليابان .
هل يوجد مقهى أو مطعم في المبنى ؟,هل يوجد مقهى أو مطعم في المبنى ؟
ربما أكون تركتها عند المكتب الأمامي ؟,ربما أكون تركتها عند المكتب الأمامي ؟
مسامحة بس مو عندي حجز، بس عندك طاولة فاضية؟,للآسف ليس لديّ حجز ، ولكن هل لديكم مائدة ؟
بغيت احجز ملعب تنس لمدة ساعة بكرة.,أود أن أحجز ملعب تنس لمدة ساعة غدا .
وين مكتب القريهاوند؟,"أين يوجد مكتب "" جري هاوند "" ؟"
بمشي ليلة قبل.,سأغادر ليلة مبكراً .
لو سمحت، انقفل باب شقتي، ممكن تعطيني مفتاح ثاني؟,معذرة ، لقد أغلقت الباب وأنا بالخارج ، هل من الممكن أن أحصل على مفتاح أخر ؟
مرحبا. من اللطيف مقابلتك.,أهلا . فرصة سعيدة .
حق شنو هالمبلغ؟,"ما هذه "" الفكة "" ؟"
أريد شريحة ملونة لهذه الكاميرا ، لطفاً .,أريد شريحة ملونة لهذه الكاميرا ، لطفاً .
ابغا استئجر كرسي سطح سفينة.,أريد استئجار كرسي مركب .
لو سمحت خبرهم اني وصلت بالسلامة.,من فضلك أخبرهم أني قد تصرفت على نحو لائق .
كنت افكر في اخذ هذا الدرس الترم الجاي.,كنت أفكر في الحصول على هذه الدورة في فترة نصف العام المقبلة .
اظن اني احبك.,أعتقد أنني أقع في غرامك ؟
"هل معك "" فكة "" صغيرة ؟","هل معك "" فكة "" صغيرة ؟"
معذرة كيف أذهب إلى المحطة ؟,معذرة كيف أذهب إلى المحطة ؟
وين؟,أين ؟
دعنا ننتظر المساعدة .,دعنا ننتظر المساعدة .
لم آكل هذا .,لم آكل هذا .
بغيت اتصل في طوكيو، لو سمحت.,أريد أن اتصل بطوكيو ، من فضلك .
آخر شي ما عجبني اللون. يصير ارجع هذي؟,إن لونها لا يروقني على الإطلاق . هلي يمكنني إرجاعها ؟
هل يمكنك تزكية حفل باليه ؟,هل يمكنك تزكية حفل باليه ؟
هذي البوابة لرحلة الخطوط الجوية الامريكية رقم عشرين لميامي؟,هل هذه هي بوابة الدخول لرحلة الخطوط الجوية الأمريكية رقم عشرين المتجهة إلى ميامي ؟
التنورات القصيرة مع الجزم الطويلة ما راح تكون قديمة ابدا.,إن الجونلات القصيرة ومعها الأحذية الطويلة لن تنقضي موضتها .
هل لديك أية نباتات أو فواكه ؟,هل لديك أية نباتات أو فواكه ؟
هل سبق لك تناول طعام ياباني ؟,هل سبق لك تناول طعام ياباني ؟
سأغلق الآن . شكراً على انتباهكم .,سأغلق الآن . شكراً على انتباهكم .
هل لديك هذا بلون احمر ؟,هل لديك هذا بلون احمر ؟
تبغا اهي تشتري فستان.,تريد أن تشتري ثوبا .
عندك فانيلات؟,هل لديك أية قمصان ؟
أتمنى لك إقامة ممتعة .,أتمنى لك إقامة ممتعة .
أنا وزوجتي سعداء جداً لأنك قادم لتقضي معنا نهاية الأسبوع حتى تجرب الحياة الأمريكية في الريف .,أنا وزوجتي سعداء جداً لأنك قادم لتقضي معنا نهاية الأسبوع حتى تجرب الحياة الأمريكية في الريف .
آسف، ماقدر.,"آسف , لا أستطيع ."
مائة وسبعون جنيها للفرد ككل .,مائة وسبعون جنيها للفرد ككل .
هل أنت جاهزة للطلب يا سيدتي ؟,هل أنت جاهزة للطلب يا سيدتي ؟
تبيع طوابع بريدية؟,أتبيع طوابع بريد ؟
هل هو طريق طويل ؟,هل هو طريق طويل ؟
ألغيت الرحلة . سنأخذكم إلى الفندق .,ألغيت الرحلة . سنأخذكم إلى الفندق .
بغيت شامبو للشعر المصبوغ.,أريد شامبو ملون .
أرغب في التسوق . أين منطقة وسط البلد ؟,أرغب في التسوق . أين منطقة وسط البلد ؟
ممر رقم سبعة .,ممر رقم سبعة .
حسنا ديف ، مارك ساشيكون ورومي سيحضرون الحفل .,حسنا ديف ، مارك ساشيكون ورومي سيحضرون الحفل .
هل ستزال تعمل جدول المواعيد ؟,هل ستزال تعمل جدول المواعيد ؟
فين البحيرة؟,أين البحيرة ؟
اهلا، كتاب كوميدي ماليزي. حشتري واحد للبيتي كقطعة محادثة.,هاي ، كتاب كوميدي ماليزي . سأشتري واحداً لآخذه إلى المنزل كقطعة محادثة .
هل سيكون بإمكانك تعويضي عنها ؟,هل سيكون بإمكانك تعويضي عنها ؟
ابغي فلاش.,أريد فلاشا .
هذي مفيد. مشكور. مسامحة، اسمك، لو سمحت.,هذا مفيد . شكراً . آنا آسف ، اسمك من فضلك .
مشكور والله. ودي، مسامحة بس عندي موعد من قبل.,لك جزيل الشكر ، كنت أود أن أحضر ولكني أخشى أن يكون لدي موعد آخر .
اوه زين. اكيد انت متشوق انك تشوفهم.,كم هو لطيف . أكيد أنك تتطلع إلى رؤيتهم .
ما رقم هاتفك من فضلك ؟,ما رقم هاتفك من فضلك ؟
والله، هو غالي. هذي مو مصنوع في اليابان، صح؟,حسنا ، إنه باهظ الثمن . إنه لم يصنع في اليابان ، أليس كذلك ؟
الأحسن لك انك تسوي فحص شامل في المستشفى.,يحسن بك أن تجري فحصاً شاملاً في مستشفى عام .
لقد كسرت الزهرية بسبيل الخطأ .,لقد كسرت الزهرية بسبيل الخطأ .
لو سمحت نظف هالثياب.,من فضلك نظف هذه الملابس .
وقت غداء. تبا نكمل نتناقش واحنا نتغدا؟,حسنا ، إنه وقت الغداء . هل تحب أن نناقشه على الغداء ؟
هذي قلم حبر.,هذا قلم جاف .
ليش واجد حر؟,لماذا هي ساخنة جداً ؟
أين يجب علىّ أن أضع متعلقات السفر هذه ؟,أين يجب علىّ أن أضع متعلقات السفر هذه ؟
سكس اون ذا بيج حق البنتين اللي هناك., جنس على الشاطئ  للفتاتين هناك .
من فضلك املأ هذه الشهادة و الروشتة .,من فضلك املأ هذه الشهادة و الروشتة .
من فضلك ، فيلم ملون خمسة وثلاثون مليمتر .,من فضلك ، فيلم ملون خمسة وثلاثون مليمتر .
من فضلك افتح هذا .,من فضلك افتح هذا .
أيوا. شنط شخص ثاني جات لغرفتي. ممكن تشيك، لو سمحت؟,نعم . تم نقل أمتعة شخص آخر إلى غرفتي تواً . من فضلك ، هل من الممكن أن تقوم بفحصها ؟
اوه، لا، خليت رقمه في البيت.,لا ، لقد تركت رقم تليفونه في المنزل .
"أريد دواءا للبرد , من فضلك .","أريد دواءا للبرد , من فضلك ."
لو سمحت اختار واين مناسب.,من فضلك أحضر نبيذاً مناسباُ .
