0,1
اسمك وعنوانك، لو سمحت.,اسمك وعنوانك ، من فضلك .
أوتيل آمن بيقدم فطار لذيذ، من فضلك.,أريد فندقاً آمنا يقدم إفطاراً جيدا ، من فضلك ؟
هل أستطيع مواصلة الرحلة ؟,هل أستطيع مواصلة الرحلة ؟
لحم الخنزير ينبغي أن يكون طازجا ، كما تعلم .,لحم الخنزير ينبغي أن يكون طازجا ، كما تعلم .
أريد ركوبها .,أريد ركوبها .
أود التحقق من وقت المغادرة .,أود التحقق من وقت المغادرة .
أيمكن أن أحصل على بعض الماء ؟,أيمكن أن أحصل على بعض الماء ؟
هل رأيت معطف أزرق ؟ وضعته على هذا الكرسي .,هل رأيت معطف أزرق ؟ وضعته على هذا الكرسي .
مبسوط جدا اني اشوفك .,إنني مسرور جداً لرؤيتك .
دفعت ثلاثين دولاراً ثمناً لقميصي .,دفعت ثلاثين دولاراً ثمناً لقميصي .
عايز اغير حجزي على الرحلة ميتين و خمسة لاتنين اكتوبر .,أود أن أغير حجزي إلي الرحلة الجوية رقم اثنان صفر خمسة في الثاني من أكتوبر .
إنت هنا.,أنت هنا .
من فضلك أحضر لي قطعة من الصابون,من فضلك أحضر لي قطعة من الصابون
ممكن آخد تقرير طبي و فاتورة للتأمين بتاعي؟,هل لي أن أحصل على تقرير طبي وإيصال من أجل التأمين الخاص بي ؟
لا يوجد مكان لأضع أمتعتي المرحلة .,لا يوجد مكان لأضع أمتعتي المرحلة .
في الحقيقة، كنت عايز الطرد ده متأمن عليه كمان.,في الواقع أريد استصدار صك تأمين على هذا الطرد أيضاً .
أوضة اتناشر تلاتين.,هذه هي الغرفة اثني عشر ثلاثة عشر .
إنه مجاني .,إنه مجاني .
تمام . ادي فاتورتك . الحساب كله خنسة و اربعين دولار و خمسين سنت .,حسنا . تفضل فاتورتك . الإجمالي يساوي خمسة وأربعين دولاراً وخمسين سنتاً .
كان لطفاً منك أن تفرجني على المدينة .,كان لطفاً منك أن تفرجني على المدينة .
من فضلك اكتب لي خطاباً .,من فضلك اكتب لي خطاباً .
انا أستاذ تاكاهاشى فى أوضة رقم خمسة أربعة تسعة. ممكن تبعتلي فوق أربع جزازات بيرة بادويسير، لو سمحت؟,أنا السيد تكاهاشي بالغرفة رقم خمسة تسعة وأربعين . من فضلك أرسل أربع زجاجات من بيرة بودفايزر .
معذرة ، هل يمكنك أن تلتقط صوراً لي ؟,معذرة ، هل يمكنك أن تلتقط صوراً لي ؟
حرامى. امسكه.,لص . أمسكوا به .
هايبقى معايا وقت كفاية عشان احول للخطوط البريطانية تلاتة تسعة تسعة؟,هل سيتوفر لدي الوقت الكافي للتحويل إلى بي إي ثلاثة تسعة تسعة ؟
اديني خمستاشر جالون بنزين درجة تانية، من فضلك .,اعطني خمس عشرة جالون من الوقود ذي النجمتين ، من فضلك .
إحنا عندينا حفلة يوم الجمعة بليل. متيجي معانا؟,عندنا حفلة مساء الجمعة . لماذا لا تنضم لنا ؟
هذا الجسر أطول من ذاك حوالي مرتين .,هذا الجسر أطول من ذاك حوالي مرتين .
نفضل تناول أطباق في حدود ثلاثين جنيهاً للشخص .,نفضل تناول أطباق في حدود ثلاثين جنيهاً للشخص .
عاوز خيط.,أريد بعض الخيط .
معايا حوالي الفين و خمسميت دولار بالين الياباني .,يوجد لدى حوالي ألفي وخمسمائة دولار بالين الياباني .
أوه، حوالي سبعة بليل، أظن.,"آه . أعتقد في السابعة مساء , على ما أقترح ."
اربعه و عشرين دولار . عايز اكتر؟,أربعة وعشرين دولاراً . هل تريد المزيد ؟
"إذن , هذا ألفان وخمسمائة دولاراً شهرياًُ . يمكننا أن نؤكد إننا سوف ندفع لك ثلاثة آلاف دولاراًُ شهرياً . ماذا عن ذلك ؟","إذن , هذا ألفان وخمسمائة دولاراً شهرياًُ . يمكننا أن نؤكد إننا سوف ندفع لك ثلاثة آلاف دولاراًُ شهرياً . ماذا عن ذلك ؟"
حافلة ؟ أعتقد أنك تقصد سيارة ليموزين لتقلك إلى الفندق . إلى أي فندق أنت ذاهب ؟,حافلة ؟ أعتقد أنك تقصد سيارة ليموزين لتقلك إلى الفندق . إلى أي فندق أنت ذاهب ؟
أريد أن أتجول حول الجزيرة .,أريد أن أتجول حول الجزيرة .
ده صندوق الموسيقى.,إنه صندوق موسيقى .
خططي أتغيرت . حأقعد تلات ليالي بدل اتنين.,لقد تغيرت خططي . أرغب في الإقامة ثلاث ليال بدلا من ليلتين .
حوالي تلاتين دولار؟,حوالي ثلاثين دولارا .
أريد منك أن تسدي إلى معروفاً ؟,أريد منك أن تسدي إلى معروفاً ؟
طيب. أقولك حاجة. انت ماتقولش لأهلك وأنا مش هاقول لأهلي.,حسناً . سأخبرك ماذا تفعل . أنت لم تخبر من معك وأنا لن أخبر من معي .
ما هي أوصاف الفاعل ؟,ما هي أوصاف الفاعل ؟
هل سيتم عرض تغير الحرس اليوم ؟,هل سيتم عرض تغير الحرس اليوم ؟
أريد أن حجز منضدة لفردين .,أريد أن حجز منضدة لفردين .
أراهن على خمسة دولار.,أراهن بخمسة دولارات .
لأ، حضرتك . النهاردة مافيش حجز . بس بكرة ينفع .,لا يا سيدي . هذه الظهيرة محجوزة بالكامل . ومع ذلك يمكن أن تحجز غدا .
لازم اكون في المطار على عشرة و نص .,يتعين علىّ أن أكون بالمطار في الساعة العاشرة والنصف .
اه، اشكرك، مس ستاسي . ان فعلا عملت البودنج ده بنفسها .,أه ، شكراً لك ، آنسة ستاسي . حقا أعدت آن حلوى البرقوق هذه بنفسها .
مش عارف .,لا أعرف .
تسعة ثلاثة تسعة ستة سبعة صفر صفر .,تسعة ثلاثة تسعة ستة سبعة صفر صفر .
حتى متى مسموح لنا بالدخول ؟,حتى متى مسموح لنا بالدخول ؟
ممكن تحط اسمي على قايمة الانتظار؟,هل يمكنك تسجيل اسمي بقائمة الانتظار ؟
"أريد صندلاً , من فضلك .","أريد صندلاً , من فضلك ."
انت عايزني ادخل في الموضوع ده تاني؟,هل تريد منى أن أجرى عبر هذا ثانية ؟
الحوض مسدود .,الحوض مسدود .
من فضلك تحدث ببطء .,من فضلك تحدث ببطء .
هانتصل بيك أول مانلاقيها.,سنتصل بك فور عثورنا عليها .
أوه، أنا آسف جدا إنى أزعجتك.,أوه ، آسف لأني أزعجتك .
أريد جدولاً للقطارات .,أريد جدولاً للقطارات .
هل عملت حجزاً .,هل عملت حجزاً .
ده متسخن؟,هل بها جهاز تدفئة ؟
هل يمكن أن تقوم بتبديل ؟,هل يمكن أن تقوم بتبديل ؟
احبه بقليل من اللبن والسكر .,احبه بقليل من اللبن والسكر .
هلا أخبرتني قبل أن نصل إلى درهام ؟,هلا أخبرتني قبل أن نصل إلى درهام ؟
إنت شايف المبنى الابيض، صح؟ ده قدام المبنى ده.,يمكنك رؤية مبنى ابيض اللون ، أليس كذلك ؟ إنه أمام ذلك المبنى .
هل هناك مكان ما يمكنني أن أجري منه مكالمة هاتفية ؟,هل هناك مكان ما يمكنني أن أجري منه مكالمة هاتفية ؟
لا مؤاخذة . ممكن تقوللي منين اروح المترو؟,عذراً . هل يمكن أن تخبرني أين يمكن أن آخذ مترو أنفاق ؟
أنا مصاب بالإمساك .,أنا مصاب بالإمساك .
كم المسافة حتى الشاطئ ؟,كم المسافة حتى الشاطئ ؟
هو أنت امريكي؟,هل أنت أمريكي ؟
هل لديك غرفة فردية الليلة ؟,هل لديك غرفة فردية الليلة ؟
عايزين نلعب تنس . فيه اى ملعب عام قريب من هنا؟,نريد أن نلعب التنس . هل هناك ملاعب عامة هنا ؟
لمؤاخذة، ظابط؟,"معذرة , ضابط ؟"
متى سيأتي ؟,متى سيأتي ؟
بكام لليوم؟,ما تكلفة هذا في اليوم ؟
أحبها كثيراً ولكنني لا أحب التصميم .,أحبها كثيراً ولكنني لا أحب التصميم .
هل يمكن أن تضع حقيبة السفر هذه في صندوق السيارة .,هل يمكن أن تضع حقيبة السفر هذه في صندوق السيارة .
كنت عايز سي دي.,أريد اسطوانة مدمجة .
أنا هبلغ الشرطة عن الموضوع ده.,سوف أبلغ الشرطة بذلك .
ممكن تاخد طريق تاني و انت رايح و راجع ؟,هل من الممكن أن تأخذ طرق مختلفة للذهاب والعودة .
طيب، إنت لازم تعرف إحنا إزاي مكتئبين هنا. إحنا مش بنحب الغربا يقولولنا إزاي نعيش حياتنا.,حسناً ، إذن لابد من تعريفك بحقيقة مشاعرنا جميعاً في هذا المكان . إننا لا نتقبل من الأغراب إسداء التوجيهات إلينا حول الطريقة التي نعيش بها حياتنا .
معذرة أريد الذهاب إلى فندقي في المدينة بالحافلة . أين يمكن أن أستقل حافلة ؟,معذرة أريد الذهاب إلى فندقي في المدينة بالحافلة . أين يمكن أن أستقل حافلة ؟
ممكن تعمل حجز للجولف؟,هل من الممكن أن تقوم بعمل حجز لملعب الجولف ؟
أنت كويس فى الكمان قد أية؟,ما هو مستوى مهارتك في عزف الكمان ؟
من فضلك استدعي الحمّال .,من فضلك استدعي الحمّال .
لا مؤاخذة . ممكن تفكلي الدولار ده؟ عايز أعمل مكالمة و معيش فكة .,معذرة . هل لك أن تفك هذا الدولار ؟ أريد إجراء مكالمة ، لكن ليس معي فكة .
ممكن ناخد طربيزة لخمسة؟,هل يمكن أن نحجز طاولة لخمسة أشخاص ؟
تعني في نطاق المدينة ؟,تعني في نطاق المدينة ؟
إذاً ، هل يمكنني أن أبادله بشيء أخر ؟,إذاً ، هل يمكنني أن أبادله بشيء أخر ؟
أرغب في تجربة شيء أصغر قليلاً .,أرغب في تجربة شيء أصغر قليلاً .
انا اسف . انا نفسي غريب عن المكان .,أنا أسف . أنا نفسي غريب عن هذا المكان .
كنت عايز اقعد في الاوضة دي ليلة كمان.,أود الإقامة بهذه الغرفة ليلة واحدة أخرى .
مرحباً . هل هذا السيد كلارك ؟,مرحباً . هل هذا السيد كلارك ؟
من فضلك وريني أنا فين على الخريطة دي.,من فضلك أرني مكاني على هذه الخريطة .
عظيم ، ذلك مكان لطيف .,عظيم ، ذلك مكان لطيف .
هذه غرفة ثلاثة سبعة عشر . يمكنني أخذ بطانية أخرى ؟,هذه غرفة ثلاثة سبعة عشر . يمكنني أخذ بطانية أخرى ؟
ممكن أدفع بالكارت ده؟,هل يمكنني الدفع بهذه البطاقة ؟
من فضلك تحقق من الإطار الاحتياطي ، كذلك .,من فضلك تحقق من الإطار الاحتياطي ، كذلك .
أرني حافظة رجالي .,أرني حافظة رجالي .
عايز أحجز تربيزة كويسة عشان أشوف العرض.,أريد حجز مائدة جيدة لمشاهدة العرض .
ما أروع زوجتك من طاهية .,ما أروع زوجتك من طاهية .
إزيك، هو ده بتاع روي؟,هالو ، هل هذه تعود إلى روي ؟
ممكن تساعدني ألاقي حديقة الحيوان؟,فضلا ، ساعدني في العثور على حديقة الحيوان .
الجولة الوحيدة الباقية لليوم هي جولة المدينة . كل الجولات الأخرى هي جولات ليلية .,الجولة الوحيدة الباقية لليوم هي جولة المدينة . كل الجولات الأخرى هي جولات ليلية .
"من فضلك اذهب على قاعة المغادرة الدولية , أتمنى لك رحلة سعيدة .","من فضلك اذهب على قاعة المغادرة الدولية , أتمنى لك رحلة سعيدة ."
أين السوق ؟,أين السوق ؟
إمتى ممكن آخده؟,متي يمكنني أن أحصل عليها ؟
هل يمكنك أن تنصح بمشروب كحولي خفيف ؟,هل يمكنك أن تنصح بمشروب كحولي خفيف ؟
أود عمل المقابلة .,أود عمل المقابلة .
ممكن ابعت ايميل بدولار؟,هل يمكنني أن أرسل أي ميل واحد فقط قيمته دولار .
حنتقابل فين؟,أين سنلتقي ؟
ايه رايك في الفكرة دي؟ إحنا موافقين على شرطك بتاع الست شهور ملاحظة بس إنت تضمنلنا ان إحنا لينا الحق في البيع لمدة ست شهور بعد ما العد ينتهي.,كيف تحب هذه الفكرة ؟ نحن نقبل بشرطك الذي ينص على فترة بلاغ مسبق قدرها ستة اشهر شريطة أن تمنحنا الحق بالبيع لمدة ستة أشهر بعد إنهاء العقد .
طيب، شكله ضيق شوية من عند الكتاف.,حسناً ، يبدو ضيقاً إلى حد ما من عند الأكتاف .
هل هذه هي بوابة الدخول لرحلة الخطوط الجوية الأمريكية رقم عشرين المتجهة إلى ميامي ؟,هل هذه هي بوابة الدخول لرحلة الخطوط الجوية الأمريكية رقم عشرين المتجهة إلى ميامي ؟
أقدر آخد تذكرتين درجة أولى لنيويورك، من فضلك؟,هل أستطيع الحصول على تذكرتين درجة أولى لنيويورك ، من فضلك ؟
ده مصنوع من ايه؟,مما صنع هذا ؟
هلا لففتها ، من فضلك ؟,هلا لففتها ، من فضلك ؟
تاخد وقت اد ايه من لوس انجلوس لسان فرانسيسكو؟,كم يستغرق الوقت من لوس أنجلوس إلى سان فرانسسكو ؟
فين أقرب محل حلويات هنا؟,أين أقرب محل للحلويات ؟
في حد اتعور.,لقد أصيب شخص .
من فضلك عاوز قارورة نبيت أبيض صغير.,أريد دورقاً صغيراً من الخمر الأبيض .
ممكن تغير الكراسي معايا، لو سمحت؟,هل لك أن نبدل مقاعدنا من فضلك ؟
ما نوع اللعب التي يلعب بها الأطفال في سن الخامسة أو السادسة في إنجلترا ؟,ما نوع اللعب التي يلعب بها الأطفال في سن الخامسة أو السادسة في إنجلترا ؟
ما بين سبعون وثمانون دولار مبلغ مناسب .,ما بين سبعون وثمانون دولار مبلغ مناسب .
اتصور انك قلقان بخصوص ميعاد التسليم .,أتصور أنك تشعر بالقلق إزاء موعد التوصيل .
إنت دفعت كام علشان تبت دول لليابان؟,كم تتقاضى ثمنا لإرسالها لليابان ؟
مش ده اللي طلبته.,ليس هذا ما طلبت .
حأخد ده، إذا سمحت .,سوف آخذ هذه ، من فضلك .
خلينا نتصل بكل الناس الشتركين في الاتفاق ده حالا .,دعونا نتصل بكل الأشخاص المشاركين في هذا الاتفاق على الفور .
لو سمحت صحيني بكرة الصبح الساهة سته .,من فضلك أيقظني في تمام الساعة السادسة صباح غد .
إذا انتظرت لحظة فقط ، سأجيب على أي تساؤل لديك .,إذا انتظرت لحظة فقط ، سأجيب على أي تساؤل لديك .
هل يوجد هناك ديسكو جيد قريب من هنا ؟,هل يوجد هناك ديسكو جيد قريب من هنا ؟
ضاعت مني تذكرة الطيارة .,لقد أضعت تذكرة الطيران الخاصة بي .
عندى صداع.,أشعر بصداع .
"شروط العقد واضحة , ولكنني لا أفهم النقطة التالية .","شروط العقد واضحة , ولكنني لا أفهم النقطة التالية ."
سوف أبلغ الشرطة بذلك .,سوف أبلغ الشرطة بذلك .
هل يمكنني الحصول على إيصال للتأمين الصحي ؟,هل يمكنني الحصول على إيصال للتأمين الصحي ؟
كيف يسعني الذهاب إلى هناك بالمترو ؟,كيف يسعني الذهاب إلى هناك بالمترو ؟
عايز احطه في صندوق ايداع امن .,أود أن أضع ذلك في صندوق ودائع آمن .
أروح هناك إزاي؟ عندك مانع ترسملي خريطة؟,كيف يمكنني الذهاب إلى ذلك المكان ؟ هل تمانع في رسم خريطة لي ؟
هل لديك أي أشكال أخرى ؟,هل لديك أي أشكال أخرى ؟
نحتاج إلى خفض الميزانية .,نحتاج إلى خفض الميزانية .
إنه كثير السكر بعض الشيء .,إنه كثير السكر بعض الشيء .
ازيك، ديه الاوضه تلتميه و خمسه .,مرحبا ، هذه غرفة ثلاثة صفر خمسة .
يمكن اقدر اساعدك . عايز فيتامين سي؟,ربما أستطيع مساعدتك . هل تحتاج إلى فيتامين سي ؟
يسرني لقاءك ، سيد سميث .,يسرني لقاءك ، سيد سميث .
إنه بالخارج .,إنه بالخارج .
هذا تبديل غير صحيح . من فضلك اعطني ثلاثة دولارات إضافية .,هذا تبديل غير صحيح . من فضلك اعطني ثلاثة دولارات إضافية .
"هل من الممكن تحويلها إلى "" فكة "" أصغر ؟","هل من الممكن تحويلها إلى "" فكة "" أصغر ؟"
ده ياخد وقت اد ايه؟,كم ستستغرق من الوقت ؟
أنا حاجز. وده رقم تأكيد الحجز.,لدي حجز . هذا هو رقم تأكيد الحجز .
أنا بتعلم محادثة بالإنجليزي مرة واحدة في الأسبوع.,أتعلم المحادثة الإنجليزية مرة بالأسبوع .
هذا يبدو رائعاً . ما الثمن ؟,هذا يبدو رائعاً . ما الثمن ؟
معذرة . أنني أبحث عن سترة من الجلد .,معذرة . أنني أبحث عن سترة من الجلد .
فيه ضمان؟,هل هناك ضمانا ؟
فيه حاجه ليك هنا .,ها هو شيء لك .
إنها ليست سيئة لهذا الحد . لكني أفضل أن تكون بها توابل أكثر قليلاً .,إنها ليست سيئة لهذا الحد . لكني أفضل أن تكون بها توابل أكثر قليلاً .
إلى فندق بوسطن من فضلك .,إلى فندق بوسطن من فضلك .
أعضاء المجلس يظلون في مراكزهم ست سنوات ، بينما يدخل نصف الأعضاء الانتخابات كل ثلاثة أعوام .,أعضاء المجلس يظلون في مراكزهم ست سنوات ، بينما يدخل نصف الأعضاء الانتخابات كل ثلاثة أعوام .
هل يمكن أن أخذ فشار ، من فضلك .,هل يمكن أن أخذ فشار ، من فضلك .
فيه اوتوبيس حيطلع بعد الضهر؟,هل توجد حافلة تغادر هذا المساء ؟
سوف تحصل الضريبة بشكل منفصل .,سوف تحصل الضريبة بشكل منفصل .
الساعة الثانية عشر ظهراً .,الساعة الثانية عشر ظهراً .
أنا بخطط أني ابعت فواتير إحتياجاتي الضرورية، فلوسمحت قولي عنوان واسم الشخص المسئول.,سأخطط لإرسال فواتير حاجياتي اليومية ، لذا من فضلك أخبرني العنوان و اسم الشخص المسئول من فضلك .
لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
هلا راقبت حقيبتي من فضلك ؟,هلا راقبت حقيبتي من فضلك ؟
تحضير واحد تاني هياخد وقت أد إيه؟,كم من الوقت سيمضي قبل تجهيز آخر ؟
عاوز قهوة بالكريمة، لو سمحت.,أريد قهوة بالقشدة ، من فضلك .
الكرسي مكسور .,المقعد مكسور .
اهلا بيكم تاني و مرحبا في برنامجكم اميركان توب فورتي .,أهلاً مرة أخرى ومرحباً مع أفضل أربعين أغنية أمريكية .
خليني اشوف قيمة استبدال الدولار بالين النهاردة . دقيقة واحده، من فضلك .,دعني أتحقق من سعر صرف الدولار أمام الين اليوم . لحظة واحدة ، من فضلك .
تناسبني تماما .,تناسبني تماما .
"جاف , من فضلك .","جاف , من فضلك ."
عايزين كراسي جنب الشباك .,نريد مقاعد بالقرب من النافذة .
أحبذ حلق .,أحبذ حلق .
لو سمحت سخنلى الطبق تانى.,من فضلك سخن الطبق مرة أخرى .
لا يا سيدي . هذه الظهيرة محجوزة بالكامل . ومع ذلك يمكن أن تحجز غدا .,لا يا سيدي . هذه الظهيرة محجوزة بالكامل . ومع ذلك يمكن أن تحجز غدا .
أفضل طريقة هي أن تعيش في بلد أجنبي .,أفضل طريقة هي أن تعيش في بلد أجنبي .
إنها بتسع وتسعين . أريد أن أنفق حوالي تسعة وتسعين دولاراً .,إنها بتسع وتسعين . أريد أن أنفق حوالي تسعة وتسعين دولاراً .
هي شركة الطيران هاتدفع تكاليف الفندق والأكل بتاعتي؟,هل ستدفع شركة الطيران رسوم الفندق والوجبات ؟
أعذرني . ممكن تصورنا؟,"معذرة , هل ستلتقط صورة لنا ؟"
البحر متشاف صغير بعيد.,كان البحر إلى الأسفل من بعيد .
عليك الذهاب إلى فيينا .,عليك الذهاب إلى فيينا .
إنها خارج الباب . اذهب إلي محطة الحافلات رقم ثلاثة . هذه الحافلة سوف تقلك إلى فندق باي فيو .,إنها خارج الباب . اذهب إلي محطة الحافلات رقم ثلاثة . هذه الحافلة سوف تقلك إلى فندق باي فيو .
ده اكتر من ميزانيتي .,هذا يفوق ميزانيتي .
كلهم مطبوعات.,هذه كلها مطبوعات .
إنه طويل .,إنه طويل .
عايز آجي من اسن دييجو.,أود اللحاق بالسفر من سان دييجو .
نعم . أود استخدام بطاقة فيزا . الرقم هو أربعة تسعة صفر ثمانية واحد خمسة واحد اثنان ثلاثة ستة سبعة سبعة ستة صفر صفر أربعة .,نعم . أود استخدام بطاقة فيزا . الرقم هو أربعة تسعة صفر ثمانية واحد خمسة واحد اثنان ثلاثة ستة سبعة سبعة ستة صفر صفر أربعة .
إنها تقدم لنا قهوة ذات جودة عالية .,إنها تقدم لنا قهوة ذات جودة عالية .
البدلة دي قماشتها إيه؟,ما خامة هذه البزة .
ممكن ادفع تلتميت دولار في الشهر .,بمقدوري دفع ثلاثمائة دولار في الشهر .
يوجد بنك بعد عمارتين إلى الأمام .,يوجد بنك بعد عمارتين إلى الأمام .
أنا في أتوبيس غلط.,إنني في الأتوبيس الخطأ .
محتاجين نقلل الميزانية .,نحتاج إلى خفض الميزانية .
عايز اطلعها برة .,أود أن آخذ هذا بعيداً .
دفعت فيه كام؟,كم دفعت فيها ؟
