0,1
"شكرا . حسنا , دعني أرى . في الواقع , ليست هي التي أريدها .","شكرا . حسنا , دعني أرى . في الواقع , ليست هي التي أريدها ."
مقعد في الشرفة ، من فضلك .,مقعد في الشرفة ، من فضلك .
يمكن أن أحضر في الساعة الثانية .,يمكن أن أحضر في الساعة الثانية .
أريد جدولاً للقطارات .,أريد جدولاً للقطارات .
حسنا . ماذا عن هذا ؟ رحلة نصف النهار هذه تعيدك هنا الساعة الواحدة بالضبط .,حسنا . ماذا عن هذا ؟ رحلة نصف النهار هذه تعيدك هنا الساعة الواحدة بالضبط .
إني جائع .,إني جائع .
بدي أعمل إتصال عاليابان خصو ببطاءة الإئتمان، إزا بتريد.,أريد أن أعمل اتصالا ببطاقة الائتمان ، من فضلك .
انهم جوعي .,انهم جوعي .
عندك الوقت الليلة؟,هل لديك وقت الليلة ؟
من هو آخر الطابور ؟,من هو آخر الطابور ؟
الجزء المكتوب بالطريقة المائلة يشير إلى التغييرات التي حدثت في التسعينات .,الجزء المكتوب بالطريقة المائلة يشير إلى التغييرات التي حدثت في التسعينات .
الكافيه بالطابئ التحت الأرض.,المقهى بالدور الأرضي .
عايز هالساعة تتصلح .,أريد إصلاح ساعتي .
بالجو، إزا بتريد.,"جوا , من فضلك ."
هل لديك واحدة أكبر ؟,هل لديك واحدة أكبر ؟
أريد حجز غرفتين مزدوجتين .,أريد حجز غرفتين مزدوجتين .
دعونا نتصل بكل الأشخاص المشاركين في هذا الاتفاق على الفور .,دعونا نتصل بكل الأشخاص المشاركين في هذا الاتفاق على الفور .
بنصح بتحفة .,أرشح تحفة .
في عندك أفلام صيفية؟,هل لديكم أفلام للصيف ؟
هذا يعتمد على التوقيت .,هذا يعتمد على التوقيت .
أوو ، ساعة تقريباً . هذا بعيد بعض الشيء .,أوو ، ساعة تقريباً . هذا بعيد بعض الشيء .
ما بدي أصرف أكتر من عشرين دولار.,لا أريد إنفاق أكثر من عشرين دولاراً .
وين صالة الأكل؟,ها هي ذي حقائبك .
في أوتوستراد؟,هل هناك طريق حر ؟
هل تتناول الخمر بالكوب ؟,هل تتناول الخمر بالكوب ؟
"لا , لا شيء .","لا , لا شيء ."
على بعد شي تسعة وتسعين ميل.,إنها تبعد حوالي تسعة وتسعون ميلا .
الرقم تلاتة اربعة خمسة ستة سبعة تمانة تسعة صفر واحد تنين .,الرقم هو ثلاثة أربعة خمسة ستة سبعة ثمانية تسعة صفر واحد اثنان .
هل تم اتباعها ؟,هل تم اتباعها ؟
هلأ أنا فاضي كم يوم.,والآن أجدني بلا عمل يشغلني لبضعة أيام .
بدي منبه، لو سمحت.,أريد منبه ، من فضلك .
الماي عمتروح من فوق . مش قادر ضل قاعد هون .,المياه تتسرب من أعلى . لا أتحمل الجلوس هنا .
تمام . هلأ صرت محجوز.,حسنا . لقد قمنا بالحجز لك .
شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان ثلاثة .,شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان ثلاثة .
من فضلك ، أريد فنجاناً من القهوة البيضاء .,من فضلك ، أريد فنجاناً من القهوة البيضاء .
أين أتوبيس المطار ؟,أين أتوبيس المطار ؟
وين بقدر لائي سوبرماركت؟,أين يمكنني أن أجد سوبر ماركت ؟
انسرقت على شط وايمانالو. لو سمحت تعال بسرعة.,لقد سرقت في شاطئ وايمانالو . من فضلك تعالى فوراً .
تعداد سكان اليابان حوالي مائة وعشرينا مليونا .,تعداد سكان اليابان حوالي مائة وعشرينا مليونا .
النجدة .,النجدة .
أين تم تصويره ؟,أين تم تصويره ؟
بدي جرب صحن تأليدي لهالمينا الصيد.,أريد أن أجرب طبق خاص بميناء الصيد هذا .
شو هي درجة الحرارة هلأ؟,ما هي درجة الحرارة الآن ؟
هل هناك مكان للمفقودات والموجودات في المحطة ؟,هل هناك مكان للمفقودات والموجودات في المحطة ؟
أي طريق يؤدى إلى فندق جراس ؟,أي طريق يؤدى إلى فندق جراس ؟
أي بوابة بروح بعدين؟,أية بوابة أتوجه إليها بعد ذلك ؟
ما هو معدل عمولتك ؟,ما هو معدل عمولتك ؟
أود أن أرسله عن طريق البريد .,أود أن أرسله عن طريق البريد .
هل يمكنك أن تريني حجماً أكبر بقليل ؟,هل يمكنك أن تريني حجماً أكبر بقليل ؟
في شي محل بيحطوا كنتري ميوزك؟,هل هناك مكان يتم فيه عزف الموسيقي الريفية ؟
جولة غطس إذا بتريد .,جولة غوص باستخدام نظارة ذات أنبوبة للتنفس ، من فضلك .
هل يمكنك تنزيل حقائبي ، من فضلك ؟,هل يمكنك تنزيل حقائبي ، من فضلك ؟
أشعر بتحسن الآن .,أشعر بتحسن الآن .
أود أن أبدل هذا .,أود أن أبدل هذا .
ضيئ شوي عإجري. عندك من هالبوط نمرة خمسة ونص؟,إنها ضيقة بالنسبة لي إلى حد ما . هل لديكم هذه الأحذية مقاس خمسة ونصف .
معي كتير .,عندي الكثير .
إي، عندي بطاءتين لذا جاينتس ودودجرز.,"أجل ، معي تذكرتان ل "" العمالقة "" و "" المحتالين "" ."
هيدا ضد التقلص؟,هل هذا مقاوم للانكماش ؟
لازمك رياحة .,أنت بحاجة للراحة .
عايش بجنوب اليابان .,أنا أعيش في جنوب اليابان .
سآخذ هذا من فضلك .,سآخذ هذا من فضلك .
غاليين كمان .,هم أيضاً غاليين .
فيي إحصل على إتصال لأوعى عالسبعة الصبح؟,هل من الممكن أن أتلقي مكالمة إيقاظ في الساعة السابعة صباحا ؟
عجبتني إدرتك اللغوية.,لقد أعجبت بمهارتك اللغوية .
كم يوم بياخد ببيرد الجو؟,كم يوماً يستغرق البريد الجوي في الوصول ؟
هل يمكنني السداد بشيك سياحي ؟,هل يمكنني السداد بشيك سياحي ؟
أريد بعض الجوارب .,أريد بعض الجوارب .
إيه، هني .,نعم . هم كذلك .
أولد الحصول على مصباح كاشف .,أولد الحصول على مصباح كاشف .
"حكا ""يلا نحتفل"" واخدني على البار. كان بدو يحكي تلفون و راح وما رجع وضليت أنا مع فاتورة كبيرة.", دعونا نحتفل  ، هكذا قال وآخذني إلى بار . وقال إنه سيُجري مكالمة هاتفية وغادر ولم يعد أبداً وتحملت أنا وحدي عبء فاتورة ضخمة .
متأسف الحمام مش شغال. بدي مساعدة.,آسف الحمام به عطل . أحتاج للمساعدة .
أود أن أؤجر قارب بمحرك .,أود أن أؤجر قارب بمحرك .
عنا عشرين يوم عطلة مدفوعة بالسنة .,نحن نأخذ عشرين عطلة مدفوعة الأجر في العام الواحد .
بدي شي اسمك إذا بتريد .,أريد شيئاً أكثر كثافة ، من فضلك .
من الأفضل أن تستقل حافلة .,من الأفضل أن تستقل حافلة .
دعني أقيس هذا من فضلك .,دعني أقيس هذا من فضلك .
كان بارداً .,كان بارداً .
باوتيل الهيلتون . غرفة تلاتمية و خمسة .,في فندق هيلتون . رقم الغرفة هو ثلاثة صفر خمسة .
هل يمكن أن آخذ صندوقاً للتعبئة ؟,هل يمكن أن آخذ صندوقاً للتعبئة ؟
هل يمكن أن أُرجع ذلك ؟,هل يمكن أن أُرجع ذلك ؟
كل الناس بتضحك بنفس اللغة .,كل شخص يبتسم بنفس اللغة .
"قسم تأجير السيارات , من فضلك .","قسم تأجير السيارات , من فضلك ."
بدي إرجع عيد شو المفروض أعمل بالظبط.,أريد أن أعيد تأكيد ما المفروض أن أفعله بالضبط .
هل لك أن تحفظ هذه الأمتعة حتى الرابعة ؟,هل لك أن تحفظ هذه الأمتعة حتى الرابعة ؟
بشو انت أكتر اشي مهتم هلأ؟,ما هي أكثر الأشياء التي تثير اهتمامك الآن ؟
هل يوجد هناك أية حافلة تتجه إلى المدينة عقب المباراة ؟,هل يوجد هناك أية حافلة تتجه إلى المدينة عقب المباراة ؟
إن جواز سفرك لم يعد ساري المفعول .,إن جواز سفرك لم يعد ساري المفعول .
أنا أسعد .,أنا أسعد .
أريد إيطاليا من فضلك .,أريد إيطاليا من فضلك .
إلى فندق بوسطن من فضلك .,إلى فندق بوسطن من فضلك .
نحنا شوي مأخرين، بس ما تعتل هم.,نحن متأخرين قليلاً ، لكن لا تقلق .
فيي استعير مكواية؟,هل يمكنني استعارة مكواة ؟
أربع ليالي.,أربع ليالي .
تغيير خاطئ هنا .,تغيير خاطئ هنا .
لقد تأكدنا جميعا من أن الكراسات قد أرسلت إليكم عن طريق البريد .,لقد تأكدنا جميعا من أن الكراسات قد أرسلت إليكم عن طريق البريد .
أديش باليارد؟,كم تتقاضى للياردة ؟
عن اذنك، شارع اورموز قريب من هون؟  ؟,"عفوا ، هل شارع "" هورموز "" قريب من هنا ؟"
صرلنا بس يومين مزوجين.,لقد تزوجنا ليومين فقط .
أي ساعة من غط؟,متى سوف نهبط ؟
عنا نبيد زهر ممتاز .,لدينا نبيذ ورد ممتاز .
هل هذا من أجل أن تذهب ؟,هل هذا من أجل أن تذهب ؟
تاريخ الانتهاء تسعة عشر من مارس تسعة وتسعين .,تاريخ الانتهاء تسعة عشر من مارس تسعة وتسعين .
الحذاء ضيق جداً .,الحذاء ضيق جداً .
أريد جاكيت .,أريد جاكيت .
هل يوجد مكان قريب من هنا لتغيير النقود الأجنبية ؟,هل يوجد مكان قريب من هنا لتغيير النقود الأجنبية ؟
متوسط عمر اليابانية المتوقع هوي الأطول بالعالم.,العمر المتوقع للياباني هو الأطول في العالم .
الشوفير آل شو الموائف؟,هل يعلن قاطع التذاكر عن المحطات ؟
لنتقابل في المطعم .,لنتقابل في المطعم .
عندك رحلة عطوكيو الجمعة؟,هل لديكم رحلة طيران إلى طوكيو يوم الجمعة ؟
صفرين تلاتة. الخطوط الجوية اليابانية.,صفر صفر ثلاثة ، الخطوط الجوية اليابانية .
ما هو الرقم الذي تتصل به من فضلك .,ما هو الرقم الذي تتصل به من فضلك .
أعاني قليل من الإرهاق بسبب اختلاف الوقت .,أعاني قليل من الإرهاق بسبب اختلاف الوقت .
بدي إحجز طاولة لتلات أشخاص.,أريد أن أحجز مائدة لثلاثة أفراد .
هل يمكن أن آخذ إيصالاً ، من فضلك ؟,هل يمكن أن آخذ إيصالاً ، من فضلك ؟
هل يمكن أن أرى هذا ؟,هل يمكن أن أرى هذا ؟
عندك منبه للسفر؟,هل لديك ساعات منبهة للسفر .
بتقدر لو سمحت تعبيلي هدا؟,هل لك أن تتفضل وتملأ هذه ؟
الإضاءة لا تعمل .,الإضاءة لا تعمل .
الحكيم عطاني وصفة.,أعطاني الطبيب روشتة .
طيب، حضرتك. بالنسبة للقياس الوسط بنقدر نقدملك زئيق. تمام؟,"حسنا ، يا سيدي . في الحجم المتوسط نعرض عليك فرو السمور من نوع "" ميركوري "" ، فهل ذلك يوافقك ؟"
لقد جرحت رأسها .,لقد جرحت رأسها .
أه، لازم يكون معك رخصة سواقة و، اه، لازم يكون معك رخصة من هيئة التكاسي و الليموزين.,"نعم , لا بد أن يكون عندك رخصة قيادة ، ولا بد أن تحصل على رخصة من لجنة التاكسي والليموزين ."
هيدا النبيت يلي بنحبو . بتمنى انو تحبو .,نحب هذا النبيذ جدا . أتمنى أن تتمتع به .
في شي مايكرويف؟,هل يوجد ميكرويف ؟
أريد حجز غرفة للثلاث ليالي القادمة .,أريد حجز غرفة للثلاث ليالي القادمة .
هيدا كان بيسلي .,كان هذا ممتعاً .
ما بدك تشرب كاسة شاي؟,ألا ترغب في فنجان شاي ؟
ما الذي تراه الأفضل ؟,ما الذي تراه الأفضل ؟
نريد أن نلعب التنس . هل هناك ملاعب عامة هنا ؟,نريد أن نلعب التنس . هل هناك ملاعب عامة هنا ؟
في عندك باص من المطار؟,هل لديك أتوبيس من المطار ؟
من وين بقدر إشتري كفوف؟,أين يمكن أن اشتري قفازات ؟
عغراند اوتيل .,"إلى "" جراند أوتل "" ."
فيك تشتري البطاقات من مكتب بيع التذاكر بالمسرح .,بإمكانك شراء التذاكر من شباك تذاكر المسرح .
أنا بقدر كتير الموسيقى الكلاسيكية.,لدي تقدير كبير للموسيقى الكلاسيكية .
هل يمكن أن أترك رسالة له ؟,هل يمكن أن أترك رسالة له ؟
أريد ملين للأمعاء .,أريد ملين للأمعاء .
روعة.,هذا مؤثر .
بطاقة إسمك معلقة بشنطاتك؟,هل بطاقة المكتوب عليها أسمك موضوعة على أمتعتك ؟
عندك خريطة للشارع فيي اخدا؟,هل لديكم خريطة للطرق لأخذها ؟
بشكرك عالنصيحة. رح جربا تاني مرة.,شكراً على النصيحة . سأجرب ذلك في المرة القادمة ؟
هيدا موديلنا الجديد. سمينا كمبيوتر الأحلام.,هذا هو نموذجنا الجديد . نطلق عليه كمبيوتر الأحلام .
هيدا شريط فيديو سجلتو لرفيقي.,هذا هو شريط الفيديو الذي سجلته لصديقي .
ما اختيارات اليوم ؟,ما اختيارات اليوم ؟
"حسناً , سيد أزورا ، لقد تأكدت رحلتك الآن .","حسناً , سيد أزورا ، لقد تأكدت رحلتك الآن ."
"من فضلك , سأقوم بالتأكيد عليها بقيمة خمسين جنيها .","من فضلك , سأقوم بالتأكيد عليها بقيمة خمسين جنيها ."
لقد سمعت أن عندكم نادل يتحدث اليابانية .,لقد سمعت أن عندكم نادل يتحدث اليابانية .
من فضلك توقف عند المدخل الرئيسي للفندق .,من فضلك توقف عند المدخل الرئيسي للفندق .
إن الطحالب لا تلصق بالحجر المتحرك .,إن الطحالب لا تلصق بالحجر المتحرك .
ما بيشتغل منيح .,إن هذا لا يعمل بشكل جيد .
هل سيكون معفياً من الضريبة لو أرسلته إلى اليابان من هنا ؟,هل سيكون معفياً من الضريبة لو أرسلته إلى اليابان من هنا ؟
يمكنك أن تشتري تذكرة بورقة فئة ألف ين من هذه الماكينة .,يمكنك أن تشتري تذكرة بورقة فئة ألف ين من هذه الماكينة .
هل يمكنك أن تلتقط صورة لي ؟,هل يمكنك أن تلتقط صورة لي ؟
بقدر أعرف تفاصيل أكتر؟,هل من الممكن أن تفصل أكثر ؟
منتعامل عادةً بالأدوات المنزلية الكهربائية .,إننا نتاجر بصفة أساسية في الأدوات الكهربائية المنزلية .
إنها مجرد هدية تعبيرا عن تقديري .,إنها مجرد هدية تعبيرا عن تقديري .
فيك تفتح هالشنطة إذا بتريد؟ شوفي بقلبا؟,هلا فتحت هذه الحقيبة ، من فضلك ؟ ماذا يوجد هنا .
هاي عن جديد و اهلا و سهلا بأميركان توب فورتي.,أهلاً مرة أخرى ومرحباً مع أفضل أربعين أغنية أمريكية .
ما أكثر الرياضات المشهورة هنا ؟,ما أكثر الرياضات المشهورة هنا ؟
إذا بتريد خذني عالمسرح .,من فضلك أقلني إلى المسرح .
ما هي الساعات التي يفتحون فيها ؟,ما هي الساعات التي يفتحون فيها ؟
دعنا نفترض أن أقود سيارة مرسيدس مسافة تزيد على عشرة آلاف ميل ثم أبيعها لك . كم دولارا سآخذ ؟,دعنا نفترض أن أقود سيارة مرسيدس مسافة تزيد على عشرة آلاف ميل ثم أبيعها لك . كم دولارا سآخذ ؟
عشرة طوابع من فضلك .,عشرة طوابع من فضلك .
قديش عمر بنتك؟,كم عمر ابنتك ؟
بعد إزنك يا ضابط، فيك تساعدني؟ ما عم لائي المتحف الوطني آي بي سي.,معذرة أيها الشرطي . هل لك أن تساعدني ؟ إنني لا أستطيع أن أجد متحف إيه بي سي الوطني .
هل تمانع لو أطفأت الراديو ؟,هل تمانع لو أطفأت الراديو ؟
بينلفظ ج-و-ر-و-ه.,تتهجي جي أوه آر أوه اتش .
شو رقم رحلتك؟,ما رقم رحلتك الجوية ؟
الساعة ستة و نص .,إنها ستة وثلاثين .
سنضطر أن نجتمع معاً مرة أخرى قريباً .,سنضطر أن نجتمع معاً مرة أخرى قريباً .
أريد معطفاً ثقيلاً للعشاء .,أريد معطفاً ثقيلاً للعشاء .
رح أخطط اني أبعت فواتير لضروراتي اليومية، عشان هيك لو سمحت أعطيني عنوان و اسم الشخص المسؤول.,سأخطط لإرسال فواتير حاجياتي اليومية ، لذا من فضلك أخبرني العنوان و اسم الشخص المسئول من فضلك .
اذا الكريدت كارت يلي الي مستعملة، فيك تعوض المبلغ؟,إذا استخدمت بطاقتي الائتمانية ، هل تستطيعون تعويض المبلغ ؟
هل بالإمكان أن توصلني إلى الفندق ؟,هل بالإمكان أن توصلني إلى الفندق ؟
ب؟,هل لي أن أغير المقاس ؟
لف عالشمال بس تئطع جسر المشاة.,اتجه يساراً بعد أن تجتاز كوبري المشاة هذا .
هاي ، إنني في الطريق إليك ، فلنلتقي في غضون حوالي خمسة عشرة دقيقة .,هاي ، إنني في الطريق إليك ، فلنلتقي في غضون حوالي خمسة عشرة دقيقة .
لا خدعة .,لا خدعة .
هل يمكنني أن أرى بعض بطاقات الهوية ؟,هل يمكنني أن أرى بعض بطاقات الهوية ؟
هدا بخرب؟,هل هذا سيفسد ؟
ماذا تشرب ؟,ماذا تشرب ؟
هل يمكن أن أدخل ؟,هل يمكن أن أدخل ؟
حسناً ، سأرسلها لك إلى لاس فيجاس .,حسناً ، سأرسلها لك إلى لاس فيجاس .
شروط العقد واضحين، بس ما قادر افهم النقطة بعد هيدا .,"شروط العقد واضحة , ولكنني لا أفهم النقطة التالية ."
إذا بتريد عطيني الرقم لبطلبو للطوارئ.,من فضلك اعطني الرقم الذي يمكن الاتصال به في حالة الطوارئ .
من وين بروح عالمترو؟,أين أجد مترو الأنفاق ؟
لا يوجد ما يكفي من قماش الحمام .,لا يوجد ما يكفي من قماش الحمام .
رح يجي الدليل السياحي ياخدنا من الاوتيل؟,هل المرشد السياحي سيأخذني من الفندق ؟
تنان ستة تسعة واحد صفر خمسة واحد، رمز المنطأة صفر تلاتة.,اثنان ، ستة ، تسعة ، واحد ، صفر ، خمسة ، واحد . الرقم الكودي للمنطقة هو صفر ، ثلاثة .
هل يمكنني أن استعيد أمتعتي ؟,هل يمكنني أن استعيد أمتعتي ؟
هل لديك أية طوابع تذكارية ؟,هل لديك أية طوابع تذكارية ؟
يجب أن أكون في المطار بحلول الثامنة صباح الغد .,يجب أن أكون في المطار بحلول الثامنة صباح الغد .
رحلة حلوة.,تمتع برحلة طيبة .
بعد في قطن غير؟,أي أخريات قطنيات ؟
إي. منوصل عالساعة تمانة بالتوئيت المحلي.,أجل . سنصل في الثامنة حسب التوقيت المحلي .
لا أستطيع تحمل المزيد من هذا .,لا أستطيع تحمل المزيد من هذا .
تنين هامبرغر و تنين قهوة، لو سمحت. بدي أخدهم معي.,نريد اثنين هامبورجر واثنين قهوة ، من فضلك ، نريد تناولها خارج المحل .
بريد جوي؟ لنشوف، هيدا بيكلف مية و تمانين دولار .,"بريد جوى ؟ دعنا أن نعرف , من المحتمل أن يتكلف هذا مائة وثمانون دولارا ."
أود أن أتناول طعاماً صينياً على العشاء .,أود أن أتناول طعاماً صينياً على العشاء .
هل يمكنك أن تحضر لي الفاتورة ؟,هل يمكنك أن تحضر لي الفاتورة ؟
أريد جهاز تلفاز محمول من فضلك .,أريد جهاز تلفاز محمول من فضلك .
إنني من السويد .,إنني من السويد .
هو بأخر الكوريدور.,في نهاية الممر .
رح نروح بالباص؟,هل سنذهب بالحافلة ؟
معذرة أريد الذهاب إلى فندقي في المدينة بالحافلة . أين يمكن أن أستقل حافلة ؟,معذرة أريد الذهاب إلى فندقي في المدينة بالحافلة . أين يمكن أن أستقل حافلة ؟
لا أستطيع تحريك ساقي اليسرى لأنها تؤلمني كثيرا .,لا أستطيع تحريك ساقي اليسرى لأنها تؤلمني كثيرا .
سأصل في غضون عشر دقائق .,سأصل في غضون عشر دقائق .
الاكسبريس التالي خلال ساعة.,سيأتي القطار السريع التالي بعد ساعة .
أبغي مقعداً على الرحلة المتجهة إلى لوس أنجلوس في الساعة الثامنة مساءاً .,أبغي مقعداً على الرحلة المتجهة إلى لوس أنجلوس في الساعة الثامنة مساءاً .
أود رؤية بعض مجموعاتك الرائعة هنا .,أود رؤية بعض مجموعاتك الرائعة هنا .
شكلك حلو.,تبدو بصحة جيدة .
إذا بتريد فرجوني شوي من الالعاب التعليمية .,من فضلك أرني بعضاً مما يسمى الألعاب التعليمية .
بوسعك أخذها عند بوابة المغادرة .,بوسعك أخذها عند بوابة المغادرة .
فيك تدفع هون عشرة دولار رعبون؟,هل من الممكن أن تدفع مبلغ عشرة دولارات للمقدم ؟
فيي شوف اللائحة إذا بتريد؟,هل يمكنني رؤية القائمة ، من فضلك .
روح دغري. أوتيل ميلتون صار عالشمال .,سر في خط مستقيم . فندق ميلتون على اليسار .
غسيلي لم يرجع حتى الآن .,غسيلي لم يرجع حتى الآن .
متى يتعين علي أن أكون في المحطة ؟,متى يتعين علي أن أكون في المحطة ؟
أنزل هون عشان أوصل مركز روكفلر؟,هل أنزل هنا لمركز روكفيلر ؟
تسعون دولاراً لتذكرة الذهاب . نقداً أم بالبطاقة ؟,تسعون دولاراً لتذكرة الذهاب . نقداً أم بالبطاقة ؟
أديش سعر أرخص بطاءة؟,ما سعر أرخص تذكرة ؟
بدك، زغير، وسط أو طلب كبير من البطاطا المقلية؟,هل ترغب في طبق صغير أم متوسط أم كبير من الأطعمة المقلية .
نريد أن نلعب لساعة في الساعة العاشرة صباح الغد .,نريد أن نلعب لساعة في الساعة العاشرة صباح الغد .
ما قيمة الرسوم في الساعة ؟,ما قيمة الرسوم في الساعة ؟
رح تبقى لتلات ليالي متل ما محدد؟,هل ستبقى لثلاث ليال كما هو مخطط ؟
هل لك أن ترسل أحداً ما إلى هنا فوراً ؟,هل لك أن ترسل أحداً ما إلى هنا فوراً ؟
عادي.,عادي .
رح أعطيك إبرة .,سأعطيك حقنة .
في المجمع السكني الثالث على يسارك .,في المجمع السكني الثالث على يسارك .
تركت شنطتي هون، و هلق اختفت .,لقد تركت حقيبتي هنا ، والآن ذهبت .
حبيت هون؟,هل يروقك هذا المكان ؟
معي حقيبتا سفر وحقيبة للبدلة .,معي حقيبتا سفر وحقيبة للبدلة .
شو رقم الرحلة؟,ما هو رقم الرحلة الجوية ؟
أشعر بمرض شديد .,أشعر بمرض شديد .
هل يمكنني الحصول علي بعض الفيتامينات ؟,هل يمكنني الحصول علي بعض الفيتامينات ؟
هل ستحول شيك بالدولار الأمريكي إلى الفرانك الفرنسي ؟,هل ستحول شيك بالدولار الأمريكي إلى الفرانك الفرنسي ؟
باخد غراضك؟,هل آخذ متعلقاتك ؟
لدي ما يغطي ثمن الوجبات لمدة ثلاثة أيام نقدا .,لدي ما يغطي ثمن الوجبات لمدة ثلاثة أيام نقدا .
بعتزر، بس ما عنا غير بيرا وويسكي.,"آسف , ولكن ليس لدينا سوى بيرة أو ويسكي ."
هذه هي رحلتي الأولى إلى باريس .,هذه هي رحلتي الأولى إلى باريس .
بقدر آخد الوصل؟,هل يمكن أن أخذ إيصال ؟
أريد شراء تذكارات لأصدقائي . أيمكن أن تُوصي ببعض منها ؟,أريد شراء تذكارات لأصدقائي . أيمكن أن تُوصي ببعض منها ؟
نطور حد مكتب الاستعلامات، إذا بتريد.,انتظر أمام مكتب الاستعلامات من فضلك .
هذا الحذاء ضيق جداً علىّ .,هذا الحذاء ضيق جداً علىّ .
كيف تستخدم هذا في الطهي ؟,كيف تستخدم هذا في الطهي ؟
ايه، عمفتش عكبوت .,نعم ، أنني أبحث عن معطف .
شو اختصاص هالمطعم؟,ما هو الصنف المميز لهذا المطعم ؟
ما بصدق ممنوع التدخين بقاعة المسافرين، شو هالعذاب.,لا أصدق أن التدخين محظور في صالة الركاب . يالها من مشكلة .
هل أستطيع رؤية الغرفة ؟,هل أستطيع رؤية الغرفة ؟
إنه المبنى الثاني على يسار هذا المبني الأبيض .,إنه المبنى الثاني على يسار هذا المبني الأبيض .
بحب غويا . متحمس شوفن .,أنا أحب جويا . أنا مشتاق لرؤيتهم .
لقد أنفقت مبلغاً كبيراً من المال على التسوق .,لقد أنفقت مبلغاً كبيراً من المال على التسوق .
ما تكلفة الغرفة في الليلة الواحدة ؟,ما تكلفة الغرفة في الليلة الواحدة ؟
أين رقم المقعد هذا ؟,أين رقم المقعد هذا ؟
